callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,theme_label
Reserve candidate,91,mixed,high_value_discount,steam:582660,Black Desert,91% off to UAH 14,1,"[""high_value_discount""]",roundup_01_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,194.45,Steam,91% off to UAH 14 | Reserve candidate | review 74/100,Reserve Deals Watch
Reserve candidate,85,mixed,high_value_discount,steam:552520,Far Cry® 5,85% off to UAH 137,2,"[""high_value_discount""]",roundup_01_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,193.96,Steam,85% off to UAH 137 | Reserve candidate | review 81/100,Reserve Deals Watch
Reserve candidate,60,mixed,high_value_discount,steam:588650,Dead Cells,60% off to UAH 131,3,"[""high_value_discount""]",roundup_01_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,186.05,Steam,60% off to UAH 131 | Reserve candidate | review 97/100,Reserve Deals Watch
Reserve candidate,75,mixed,high_value_discount,steam:646570,Slay the Spire,75% off to UAH 124,4,"[""high_value_discount""]",roundup_01_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,184.28,Steam,75% off to UAH 124 | Reserve candidate | review 98/100,Reserve Deals Watch
Reserve candidate,85,mixed,high_value_discount,steam:1693980,Dead Space,85% off to UAH 224,5,"[""high_value_discount""]",roundup_01_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,183.34,Steam,85% off to UAH 224 | Reserve candidate | review 91/100,Reserve Deals Watch
Reserve candidate,80,mixed,high_value_discount,steam:567640,Danganronpa V3: Killing Harmony,80% off to UAH 95,1,"[""high_value_discount""]",roundup_02_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,181.76,Steam,80% off to UAH 95 | Reserve candidate | review 83/100,Reserve Deals Watch
Reserve candidate,70,mixed,high_value_discount,steam:312520,Rain World,70% off to UAH 154,2,"[""high_value_discount""]",roundup_02_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,180.14,Steam,70% off to UAH 154 | Reserve candidate | review 94/100,Reserve Deals Watch
Reserve candidate,70,mixed,high_value_discount,steam:394360,Hearts of Iron IV,70% off to UAH 404,3,"[""high_value_discount""]",roundup_02_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,179.83,Steam,70% off to UAH 404 | Reserve candidate | review 90/100,Reserve Deals Watch
Reserve candidate,70,mixed,high_value_discount,steam:1158310,Crusader Kings III,70% off to UAH 404,4,"[""high_value_discount""]",roundup_02_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,179.79,Steam,70% off to UAH 404 | Reserve candidate | review 91/100,Reserve Deals Watch
Reserve candidate,60,mixed,high_value_discount,steam:960090,Bloons TD 6,60% off to UAH 87,5,"[""high_value_discount""]",roundup_02_reserve_deals_watch,A mixed reserve bundle built from the strongest remaining roundup candidates in this window.,Roundup: Reserve Deals Watch,178.21,Steam,60% off to UAH 87 | Reserve candidate | review 97/100,Reserve Deals Watch
