callout,discount_percent,group_type,lane,offer_id,offer_title,price_line,rank,reason_tags,roundup_id,roundup_intro,roundup_title,score,store,summary_line,theme_label
Hero discount,56,hero_discount,high_value_discount,steam:3240220,Grand Theft Auto V Enhanced,56% off to UAH 879,1,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,248.03,Steam,56% off to UAH 879 | Hero discount | review 81/100,Big Discount Highlights
Hero discount,75,hero_discount,high_value_discount,steam:585420,Trailmakers,75% off to UAH 82,2,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,247.06,Steam,75% off to UAH 82 | Hero discount | review 92/100,Big Discount Highlights
Hero discount,50,hero_discount,high_value_discount,steam:1167630,Teardown,50% off to UAH 324,3,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,245.73,Steam,50% off to UAH 324 | Hero discount | review 96/100,Big Discount Highlights
Hero discount,70,hero_discount,high_value_discount,steam:312520,Rain World,70% off to UAH 154,4,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,245.14,Steam,70% off to UAH 154 | Hero discount | review 94/100,Big Discount Highlights
Hero discount,50,hero_discount,high_value_discount,steam:892970,Valheim,50% off to UAH 269,5,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_01_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,238.9,Steam,50% off to UAH 269 | Hero discount | review 94/100,Big Discount Highlights
Hero discount,67,hero_discount,high_value_discount,steam:780310,The Riftbreaker,67% off to UAH 198,1,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,238.12,Steam,67% off to UAH 198 | Hero discount | review 90/100,Big Discount Highlights
Hero discount,60,hero_discount,high_value_discount,steam:1637320,Dome Keeper,60% off to UAH 150,2,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:trusted_hit"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,233.94,Steam,60% off to UAH 150 | Hero discount | review 92/100,Big Discount Highlights
Hero discount,30,hero_discount,high_value_discount,steam:3241660,R.E.P.O.,30% off to UAH 135,3,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,231.6,Steam,30% off to UAH 135 | Hero discount | review 96/100,Big Discount Highlights
Hero discount,30,hero_discount,high_value_discount,steam:526870,Satisfactory,30% off to UAH 518,4,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",roundup_02_big_discount_highlights,Top reserve discounts with enough editorial weight to carry one combined roundup post.,Roundup: Big Discount Highlights,230.17,Steam,30% off to UAH 518 | Hero discount | review 97/100,Big Discount Highlights
Strong secondary discount,80,strong_discount,high_value_discount,steam:567640,Danganronpa V3: Killing Harmony,80% off to UAH 95,1,"[""high_value_discount"", ""strong_discount"", ""editorial_importance:popular"", ""editorial_importance:card_ready""]",roundup_03_strong_discount_picks,Solid secondary discounts that work better together than as separate solo posts right now.,Roundup: Strong Discount Picks,211.01,Steam,80% off to UAH 95 | Strong secondary discount | review 83/100,Strong Discount Picks
Strong secondary discount,75,strong_discount,high_value_discount,steam:1096530,Solasta: Crown of the Magister,75% off to UAH 150,2,"[""high_value_discount"", ""strong_discount"", ""editorial_importance:popular"", ""editorial_importance:card_ready""]",roundup_03_strong_discount_picks,Solid secondary discounts that work better together than as separate solo posts right now.,Roundup: Strong Discount Picks,202.11,Steam,75% off to UAH 150 | Strong secondary discount | review 87/100,Strong Discount Picks
Strong secondary discount,70,strong_discount,high_value_discount,steam:529340,Victoria 3,70% off to UAH 404,3,"[""high_value_discount"", ""strong_discount"", ""editorial_importance:very_popular"", ""editorial_importance:card_ready""]",roundup_03_strong_discount_picks,Solid secondary discounts that work better together than as separate solo posts right now.,Roundup: Strong Discount Picks,199.73,Steam,70% off to UAH 404 | Strong secondary discount | review 71/100,Strong Discount Picks
Strong secondary discount,75,strong_discount,high_value_discount,steam:3472040,NBA 2K26,75% off to UAH 574,4,"[""high_value_discount"", ""strong_discount"", ""editorial_importance:major_franchise"", ""editorial_importance:card_ready""]",roundup_03_strong_discount_picks,Solid secondary discounts that work better together than as separate solo posts right now.,Roundup: Strong Discount Picks,190.49,Steam,75% off to UAH 574 | Strong secondary discount | review 65/100,Strong Discount Picks
Strong secondary discount,45,strong_discount,high_value_discount,steam:2849080,Kingdom Rush 5: Alliance TD,45% off to UAH 228,5,"[""high_value_discount"", ""strong_discount"", ""editorial_importance:trusted_hit"", ""editorial_importance:card_ready""]",roundup_03_strong_discount_picks,Solid secondary discounts that work better together than as separate solo posts right now.,Roundup: Strong Discount Picks,171.29,Steam,45% off to UAH 228 | Strong secondary discount | review 88/100,Strong Discount Picks
