bucket,decision_reasons,dedup_reason,diversity_constraints,event_sale_influence,lane,manual_override,must_ship,offer_id,quality_reasons,queue_bucket,recommended_post_mode,score,selection_outcome,source,title
planned,"[""breaking_freebie"", ""freebie_high_signal"", ""freebie_source:epic"", ""freebie_ends_soon"", ""freebie_card_ready"", ""editorial_importance:card_ready""]",new_offer,[],{},breaking_freebie,"{""forced"": false, ""reasons"": []}",True,epic:c367569acede446995c5a3663e993446,"[""event_or_freebie""]",planned,solo_post,203.2,planned,epic,Cozy Grove
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",new_offer,"[""source_alternation"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1237970,"[""review_threshold""]",planned,solo_post,296.85,planned,steam,Titanfall® 2
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:394360,"[""review_threshold""]",planned,solo_post,288.83,planned,steam,Hearts of Iron IV
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1158310,"[""review_threshold""]",planned,solo_post,288.79,planned,steam,Crusader Kings III
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1222680,"[""review_threshold""]",planned,solo_post,283.36,planned,steam,Need for Speed™ Heat
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:526870,"[""review_threshold""]",planned,solo_post,240.17,planned,steam,Satisfactory
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1238810,"[""review_threshold""]",planned,solo_post,278.7,planned,steam,Battlefield™ V
planned,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",new_offer,[],{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:548430,"[""review_threshold""]",planned,solo_post,278.29,planned,steam,Deep Rock Galactic
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",new_offer,[],{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:990080,"[""review_threshold""]",planned,roundup_candidate,277.98,reserve,steam,Hogwarts Legacy
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:card_ready""]",new_offer,[],{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:2778610,"[""review_threshold""]",reserve,roundup_candidate,112.52,reserve,steam,Over The Top: WWI
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:very_popular"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1222700,"[""review_threshold""]",planned,roundup_candidate,273.87,reserve,steam,A Way Out
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:trusted_hit"", ""editorial_importance:card_ready""]",new_offer,[],{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:2827200,"[""review_threshold""]",reserve,roundup_candidate,119.23,reserve,steam,MIMESIS
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1517290,"[""review_threshold""]",planned,roundup_candidate,270.37,reserve,steam,Battlefield™ 2042
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:very_popular"", ""editorial_importance:card_ready""]",new_offer,[],{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:1371980,"[""review_threshold""]",reserve,roundup_candidate,135.05,reserve,steam,No Rest for the Wicked
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:major_franchise"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1361210,"[""review_threshold""]",planned,roundup_candidate,265.78,reserve,steam,"Warhammer 40,000: Darktide"
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:popular"", ""editorial_importance:card_ready""]",new_offer,[],{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:1466060,"[""review_threshold""]",reserve,roundup_candidate,139.38,reserve,steam,Tainted Grail: The Fall of Avalon
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:very_popular"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1774580,"[""review_threshold""]",planned,roundup_candidate,263.76,reserve,steam,STAR WARS Jedi: Survivor™
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:trusted_hit"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:1331550,"[""review_threshold""]",reserve,roundup_candidate,140.94,reserve,steam,Big Ambitions
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:1167630,"[""review_threshold""]",planned,roundup_candidate,255.73,reserve,steam,Teardown
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:trusted_hit"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:1029780,"[""review_threshold""]",reserve,roundup_candidate,136.72,reserve,steam,Going Medieval
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:highly_rated"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:892970,"[""review_threshold""]",planned,roundup_candidate,248.9,reserve,steam,Valheim
reserve,"[""backlog_filler"", ""mid_discount"", ""editorial_importance:popular"", ""editorial_importance:critical_favorite"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},backlog_filler,"{""forced"": false, ""reasons"": []}",False,steam:1062090,"[""review_threshold""]",reserve,roundup_candidate,126.84,reserve,steam,Timberborn
reserve,"[""high_value_discount"", ""hero_discount"", ""editorial_importance:mega_popular"", ""editorial_importance:standout_title"", ""editorial_importance:card_ready""]",new_offer,"[""source_repeat_no_alternative"", ""genre_alternation"", ""franchise_alternation""]",{},high_value_discount,"{""forced"": false, ""reasons"": []}",False,steam:3240220,"[""review_threshold""]",planned,roundup_candidate,248.03,reserve,steam,Grand Theft Auto V Enhanced
